2025-07-17 17:51:37.029 | INFO     | uvicorn.server:_serve:84 - Started server process [7905]
2025-07-17 17:51:37.029 | INFO     | uvicorn.lifespan.on:startup:48 - Waiting for application startup.
2025-07-17 17:51:37.276 | INFO     | uvicorn.lifespan.on:startup:62 - Application startup complete.
2025-07-17 17:51:37.351 | INFO     | uvicorn.server:_log_started_message:216 - Uvicorn running on http://0.0.0.0:12332 (Press CTRL+C to quit)
2025-07-17 17:51:37.640 | INFO     | uvicorn.protocols.http.h11_impl:send:473 - 127.0.0.1:60596 - "GET / HTTP/1.1" 200
2025-07-17 17:51:37.668 | DEBUG    | server.server:process_one_code_with_repl_fast:213 - [1234] Processing code: {"custom_id": "1234", "proof_header": "", "proof_body": "#check Nat", "timeout": 30}
2025-07-17 17:51:38.541 | INFO     | uvicorn.protocols.http.h11_impl:send:473 - 127.0.0.1:60602 - "POST /verify HTTP/1.1" 200
2025-07-17 17:51:45.230 | INFO     | server.server:_repl_creater:41 - Created 22 ['import Mathlib\nimport Aesop'] repls with response [{'env': 0, 'time': 6.501352310180664}, {'env': 0,
2025-07-17 17:51:48.107 | INFO     | uvicorn.server:shutdown:264 - Shutting down
2025-07-17 17:51:48.208 | INFO     | uvicorn.lifespan.on:shutdown:67 - Waiting for application shutdown.
2025-07-17 17:51:48.211 | INFO     | uvicorn.lifespan.on:shutdown:76 - Application shutdown complete.
2025-07-17 17:51:48.211 | INFO     | uvicorn.server:_serve:94 - Finished server process [7905]
